Rank,Points
337,2.655235791
338,2.64816459
339,2.641133026
340,2.634140763
341,2.627187465
342,2.620272802
343,2.613396447
344,2.606558078
345,2.599757374
346,2.592994021
347,2.586267707
348,2.579578121
349,2.57292496
350,2.566307921
351,2.559726706
352,2.55318102
353,2.54667057
354,2.540195068
355,2.533754229
356,2.52734777
357,2.520975412
358,2.514636878
359,2.508331896
360,2.502060194
361,2.495821506
362,2.489615567
363,2.483442115
364,2.477300892
365,2.471191641
366,2.46511411
367,2.459068046
368,2.453053203
369,2.447069335
370,2.441116199
371,2.435193555
372,2.429301165
373,2.423438794
374,2.417606209
375,2.41180318
376,2.406029478
377,2.400284879
378,2.394569158
379,2.388882095
380,2.383223471
381,2.37759307
382,2.371990677
383,2.36641608
384,2.36086907
385,2.355349437
386,2.349856978
387,2.344391488
388,2.338952765
389,2.33354061
390,2.328154825
391,2.322795215
392,2.317461586
393,2.312153746
394,2.306871506
395,2.301614677
396,2.296383073
397,2.291176511
398,2.285994807
399,2.280837781
400,2.275705254
401,2.270597048
402,2.265512989
403,2.260452903
404,2.255416617
405,2.25040396
406,2.245414765
407,2.240448864
408,2.235506091
409,2.230586283
410,2.225689276
411,2.220814911
412,2.215963027
413,2.211133466
414,2.206326073
415,2.201540693
416,2.196777171
417,2.192035357
418,2.187315098
419,2.182616247
420,2.177938655
421,2.173282175
422,2.168646664
423,2.164031976
424,2.15943797
425,2.154864504
426,2.150311439
427,2.145778635
428,2.141265956
429,2.136773266
430,2.132300429
431,2.127847313
432,2.123413784
433,2.118999712
434,2.114604966
435,2.110229418
436,2.10587294
437,2.101535405
438,2.097216688
439,2.092916665
440,2.088635212
441,2.084372208
442,2.08012753
443,2.07590106
444,2.071692679
445,2.067502267
446,2.063329709
447,2.059174889
448,2.055037692
449,2.050918003
450,2.046815711
451,2.042730703
452,2.038662869
453,2.034612098
454,2.030578281
455,2.026561311
456,2.02256108
457,2.018577482
458,2.014610412
459,2.010659765
460,2.006725437
461,2.002807327
462,1.998905331
463,1.99501935
464,1.991149283
465,1.987295031
466,1.983456496
467,1.979633579
468,1.975826184
469,1.972034216
470,1.968257578
471,1.964496177
472,1.960749918
473,1.95701871
474,1.953302459
475,1.949601075
476,1.945914467
477,1.942242545
478,1.93858522
479,1.934942404
480,1.931314009
481,1.927699948
482,1.924100134
483,1.920514483
484,1.916942909
485,1.913385329
486,1.909841658
487,1.906311814
488,1.902795714
489,1.899293278
490,1.895804424
491,1.892329072
492,1.888867142
493,1.885418556
494,1.881983235
495,1.878561101
496,1.875152078
497,1.871756088
498,1.868373057
499,1.865002908
500,1.861645567
501,1.858300959
502,1.854969012
503,1.851649652
504,1.848342806
505,1.845048403
506,1.841766372
507,1.838496642
508,1.835239142
509,1.831993803
510,1.828760555
511,1.825539331
512,1.822330062
513,1.819132679
514,1.815947118
515,1.812773309
516,1.809611189
517,1.806460691
518,1.803321749
519,1.8001943
520,1.797078279
521,1.793973623
522,1.790880269
523,1.787798153
524,1.784727214
525,1.781667391
526,1.77861862
527,1.775580843
528,1.772553998
529,1.769538025
530,1.766532866
531,1.76353846
532,1.76055475
533,1.757581676
534,1.754619183
535,1.751667211
536,1.748725704
537,1.745794606
538,1.74287386
539,1.739963411
540,1.737063203
541,1.734173182
542,1.731293292
543,1.728423481
544,1.725563694
545,1.722713878
546,1.719873979
547,1.717043946
548,1.714223726
549,1.711413267
550,1.708612518
551,1.705821427
552,1.703039944
553,1.700268019
554,1.697505602
555,1.694752642
556,1.69200909
557,1.689274898
558,1.686550017
559,1.683834398
560,1.681127994
561,1.678430757
562,1.675742639
563,1.673063594
564,1.670393575
565,1.667732535
566,1.665080429
567,1.662437211
568,1.659802836
569,1.657177258
570,1.654560432
571,1.651952315
572,1.649352862
573,1.646762029
574,1.644179773
575,1.64160605
576,1.639040818
577,1.636484034
578,1.633935655
579,1.631395639
580,1.628863944
581,1.62634053
582,1.623825354
583,1.621318376
584,1.618819555
585,1.61632885
586,1.613846222
587,1.61137163
588,1.608905035
589,1.606446398
590,1.603995678
591,1.601552839
592,1.59911784
593,1.596690643
594,1.594271211
595,1.591859506
596,1.589455489
597,1.587059125
598,1.584670374
599,1.582289201
600,1.57991557
601,1.577549443
602,1.575190784
603,1.572839558
604,1.570495729
605,1.568159261
606,1.565830119
607,1.563508269
608,1.561193675
609,1.558886302
610,1.556586117
611,1.554293086
612,1.552007174
613,1.549728348
614,1.547456574
615,1.545191819
616,1.54293405
617,1.540683235
618,1.53843934
619,1.536202333
620,1.533972182
621,1.531748854
622,1.529532319
623,1.527322545
624,1.525119499
625,1.522923151
626,1.52073347
627,1.518550425
628,1.516373985
629,1.51420412
630,1.512040799
631,1.509883993
632,1.507733672
633,1.505589805
634,1.503452364
635,1.501321319
636,1.49919664
637,1.4970783
638,1.494966268
639,1.492860517
640,1.490761018
641,1.488667742
642,1.486580662
643,1.48449975
644,1.482424977
645,1.480356317
646,1.478293741
647,1.476237223
648,1.474186735
649,1.472142251
650,1.470103743
651,1.468071185
652,1.466044551
653,1.464023814
654,1.462008949
655,1.459999928
656,1.457996726
657,1.455999319
658,1.454007679
659,1.452021782
660,1.450041602
661,1.448067114
662,1.446098294
663,1.444135117
664,1.442177557
665,1.440225591
666,1.438279194
667,1.436338342
668,1.434403011
669,1.432473176
670,1.430548815
671,1.428629903
672,1.426716417
673,1.424808333
674,1.422905629
675,1.421008281
676,1.419116266
677,1.417229561
678,1.415348144
679,1.413471992
680,1.411601083
681,1.409735394
682,1.407874903
683,1.406019588
684,1.404169427
685,1.402324398
686,1.400484479
687,1.39864965
688,1.396819888
689,1.394995172
690,1.393175481
691,1.391360794
692,1.38955109
693,1.387746348
694,1.385946547
695,1.384151667
696,1.382361687
697,1.380576587
698,1.378796347
699,1.377020945
700,1.375250363
701,1.373484581
702,1.371723577
703,1.369967334
704,1.368215831
705,1.366469048
706,1.364726967
707,1.362989568
708,1.361256832
709,1.359528739
710,1.357805272
711,1.35608641
712,1.354372135
713,1.352662429
714,1.350957273
715,1.349256648
716,1.347560537
717,1.34586892
718,1.34418178
719,1.342499099
720,1.340820859
721,1.339147041
722,1.337477629
723,1.335812604
724,1.334151948
725,1.332495645
726,1.330843677
727,1.329196027
728,1.327552677
729,1.325913611
730,1.324278811
731,1.32264826
732,1.321021942
733,1.31939984
734,1.317781937
735,1.316168217
736,1.314558663
737,1.312953258
738,1.311351987
739,1.309754833
740,1.308161781
741,1.306572813
742,1.304987914
743,1.303407069
744,1.301830261
745,1.300257474
746,1.298688694
747,1.297123904
748,1.295563089
749,1.294006233
750,1.292453322
751,1.29090434
752,1.289359272
753,1.287818103
754,1.286280818
755,1.284747401
756,1.283217839
757,1.281692116
758,1.280170217
759,1.278652129
760,1.277137836
761,1.275627324
762,1.274120579
763,1.272617585
764,1.27111833
765,1.269622799
766,1.268130978
767,1.266642852
768,1.265158409
769,1.263677633
770,1.262200511
771,1.26072703
772,1.259257175
773,1.257790933
774,1.256328291
775,1.254869235
776,1.253413752
777,1.251961828
778,1.25051345
779,1.249068604
780,1.247627279
781,1.24618946
782,1.244755135
783,1.243324291
784,1.241896914
785,1.240472992
786,1.239052513
787,1.237635463
788,1.236221831
789,1.234811602
790,1.233404766
791,1.232001309
792,1.230601219
793,1.229204484
794,1.227811091
795,1.226421029
796,1.225034285
797,1.223650847
798,1.222270703
799,1.220893841
800,1.21952025
801,1.218149917
802,1.21678283
803,1.215418979
804,1.214058351
805,1.212700934
806,1.211346717
807,1.209995689
808,1.208647838
809,1.207303153
810,1.205961622
811,1.204623235
812,1.203287979
813,1.201955844
814,1.200626818
815,1.199300891
816,1.197978052
817,1.196658289
818,1.195341592
819,1.194027949
820,1.192717351
821,1.191409786
822,1.190105243
823,1.188803712
824,1.187505183
825,1.186209644
826,1.184917086
827,1.183627497
828,1.182340868
829,1.181057187
830,1.179776446
831,1.178498633
832,1.177223738
833,1.175951751
834,1.174682662
835,1.173416461
836,1.172153138
837,1.170892683
838,1.169635086
839,1.168380337
840,1.167128427
841,1.165879345
842,1.164633081
843,1.163389627
844,1.162148972
845,1.160911107
846,1.159676022
847,1.158443708
848,1.157214155
849,1.155987354
850,1.154763295
851,1.15354197
852,1.152323368
853,1.151107481
854,1.149894299
855,1.148683813
856,1.147476014
857,1.146270893
858,1.145068441
859,1.143868649
860,1.142671507
861,1.141477008
862,1.140285141
863,1.139095899
864,1.137909272
865,1.136725251
866,1.135543829
867,1.134364996
868,1.133188743
869,1.132015062
870,1.130843945
871,1.129675382
872,1.128509366
873,1.127345888
874,1.126184939
875,1.125026511
876,1.123870596
877,1.122717185
878,1.12156627
879,1.120417844
880,1.119271897
881,1.118128421
882,1.116987409
883,1.115848852
884,1.114712743
885,1.113579073
886,1.112447834
887,1.111319018
888,1.110192618
889,1.109068625
890,1.107947032
891,1.106827831
892,1.105711013
893,1.104596573
894,1.1034845
895,1.102374789
896,1.101267431
897,1.100162419
898,1.099059745
899,1.097959401
900,1.096861381
901,1.095765676
902,1.09467228
903,1.093581184
904,1.092492381
905,1.091405864
906,1.090321627
907,1.08923966
908,1.088159958
909,1.087082512
910,1.086007317
911,1.084934364
912,1.083863646
913,1.082795157
914,1.081728889
915,1.080664835
916,1.079602988
917,1.078543342
918,1.077485889
919,1.076430622
920,1.075377535
921,1.074326621
922,1.073277872
923,1.072231282
924,1.071186844
925,1.070144552
926,1.069104399
927,1.068066377
928,1.067030481
929,1.065996704
930,1.064965038
931,1.063935479
932,1.062908018
933,1.06188265
934,1.060859368
935,1.059838165
936,1.058819036
937,1.057801973
938,1.05678697
939,1.055774021
940,1.05476312
941,1.05375426
942,1.052747435
943,1.051742638
944,1.050739865
945,1.049739107
946,1.048740359
947,1.047743616
948,1.04674887
949,1.045756116
950,1.044765347
951,1.043776559
952,1.042789743
953,1.041804895
954,1.040822009
955,1.039841078
956,1.038862097
957,1.03788506
958,1.03690996
959,1.035936793
960,1.034965551
961,1.03399623
962,1.033028824
963,1.032063326
964,1.031099732
965,1.030138034
966,1.029178229
967,1.028220309
968,1.02726427
969,1.026310105
970,1.025357809
971,1.024407377
972,1.023458803
973,1.022512081
974,1.021567207
975,1.020624173
976,1.019682975
977,1.018743608
978,1.017806066
979,1.016870344
980,1.015936436
981,1.015004336
982,1.014074041
983,1.013145543
984,1.012218839
985,1.011293922
986,1.010370787
987,1.00944943
988,1.008529844
989,1.007612025
990,1.006695968
991,1.005781667
992,1.004869118
993,1.003958314
994,1.003049252
995,1.002141926
996,1.00123633
997,1.000332461
998,0.999430312
999,0.998529879
1000,0.997631157
1001,0.996734142
1002,0.995838827
1003,0.994945208
1004,0.99405328
1005,0.993163039
1006,0.992274479
1007,0.991387596
1008,0.990502385
1009,0.98961884
1010,0.988736958
1011,0.987856733
1012,0.986978161
1013,0.986101237
1014,0.985225956
1015,0.984352313
1016,0.983480305
1017,0.982609926
1018,0.981741171
1019,0.980874036
1020,0.980008516
1021,0.979144608
1022,0.978282305
1023,0.977421604
1024,0.9765625
1025,0.975704989
1026,0.974849065
1027,0.973994726
1028,0.973141965
1029,0.972290779
1030,0.971441163
1031,0.970593113
1032,0.969746625
1033,0.968901693
1034,0.968058315
1035,0.967216484
1036,0.966376198
1037,0.965537451
1038,0.964700239
1039,0.963864559
1040,0.963030405
1041,0.962197774
1042,0.961366661
1043,0.960537062
1044,0.959708973
1045,0.95888239
1046,0.958057309
1047,0.957233724
1048,0.956411633
1049,0.955591031
1050,0.954771914
1051,0.953954278
1052,0.953138119
1053,0.952323432
1054,0.951510214
1055,0.950698461
1056,0.949888168
1057,0.949079332
1058,0.948271948
1059,0.947466013
1060,0.946661523
1061,0.945858473
1062,0.945056861
1063,0.944256681
1064,0.94345793
1065,0.942660604
1066,0.941864699
1067,0.941070212
1068,0.940277138
1069,0.939485474
1070,0.938695216
1071,0.937906359
1072,0.937118901
1073,0.936332838
1074,0.935548165
1075,0.934764879
1076,0.933982976
1077,0.933202452
1078,0.932423305
1079,0.931645529
1080,0.930869122
1081,0.930094079
1082,0.929320398
1083,0.928548074
1084,0.927777103
1085,0.927007483
1086,0.92623921
1087,0.925472279
1088,0.924706688
1089,0.923942432
1090,0.923179509
1091,0.922417914
1092,0.921657645
1093,0.920898697
1094,0.920141068
1095,0.919384753
1096,0.918629749
1097,0.917876053
1098,0.917123661
1099,0.916372571
1100,0.915622777
1101,0.914874278
1102,0.914127069
1103,0.913381147
1104,0.912636509
1105,0.911893152
1106,0.911151071
1107,0.910410264
1108,0.909670728
1109,0.908932459
1110,0.908195453
1111,0.907459708
1112,0.906725221
1113,0.905991987
1114,0.905260003
1115,0.904529267
1116,0.903799776
1117,0.903071525
1118,0.902344512
1119,0.901618733
1120,0.900894186
1121,0.900170866
1122,0.899448772
1123,0.898727899
1124,0.898008245
1125,0.897289807
1126,0.89657258
1127,0.895856563
1128,0.895141753
1129,0.894428145
1130,0.893715737
1131,0.893004526
1132,0.892294508
1133,0.891585682
1134,0.890878043
1135,0.890171589
1136,0.889466316
1137,0.888762222
1138,0.888059304
1139,0.887357558
1140,0.886656982
1141,0.885957572
1142,0.885259326
1143,0.884562241
1144,0.883866314
1145,0.883171542
1146,0.882477921
1147,0.88178545
1148,0.881094124
1149,0.880403942
1150,0.8797149
1151,0.879026996
1152,0.878340226
1153,0.877654589
1154,0.87697008
1155,0.876286697
1156,0.875604437
1157,0.874923298
1158,0.874243276
1159,0.87356437
1160,0.872886575
1161,0.872209889
1162,0.871534311
1163,0.870859835
1164,0.870186461
1165,0.869514185
1166,0.868843005
1167,0.868172917
1168,0.86750392
1169,0.86683601
1170,0.866169184
1171,0.865503441
1172,0.864838777
1173,0.864175189
1174,0.863512676
1175,0.862851234
1176,0.86219086
1177,0.861531553
1178,0.860873309
1179,0.860216126
1180,0.859560001
1181,0.858904932
1182,0.858250916
1183,0.85759795
1184,0.856946032
1185,0.856295159
1186,0.85564533
1187,0.85499654
1188,0.854348788
1189,0.853702071
1190,0.853056387
1191,0.852411733
1192,0.851768107
1193,0.851125505
1194,0.850483927
1195,0.849843368
1196,0.849203827
1197,0.848565301
1198,0.847927788
1199,0.847291285
1200,0.84665579
1201,0.846021301
1202,0.845387814
1203,0.844755328
1204,0.84412384
1205,0.843493348
1206,0.84286385
1207,0.842235342
1208,0.841607823
1209,0.84098129
1210,0.84035574
1211,0.839731173
1212,0.839107584
1213,0.838484973
1214,0.837863335
1215,0.83724267
1216,0.836622975
1217,0.836004247
1218,0.835386485
1219,0.834769685
1220,0.834153846
1221,0.833538966
1222,0.832925041
1223,0.832312071
1224,0.831700051
1225,0.831088981
1226,0.830478859
1227,0.829869681
1228,0.829261445
1229,0.82865415
1230,0.828047793
1231,0.827442372
1232,0.826837885
1233,0.826234329
1234,0.825631703
1235,0.825030003
1236,0.824429229
1237,0.823829377
1238,0.823230447
1239,0.822632434
1240,0.822035338
1241,0.821439156
1242,0.820843887
1243,0.820249527
1244,0.819656075
1245,0.819063529
1246,0.818471886
1247,0.817881145
1248,0.817291303
1249,0.816702359
1250,0.816114309
1251,0.815527153
1252,0.814940888
1253,0.814355512
1254,0.813771023
1255,0.813187419
1256,0.812604698
1257,0.812022858
1258,0.811441896
1259,0.810861811
1260,0.810282601
1261,0.809704264
1262,0.809126798
1263,0.8085502
1264,0.807974469
1265,0.807399603
1266,0.806825599
1267,0.806252457
1268,0.805680173
1269,0.805108746
1270,0.804538174
1271,0.803968455
1272,0.803399587
1273,0.802831568
1274,0.802264396
1275,0.80169807
1276,0.801132587
1277,0.800567945
1278,0.800004143
1279,0.799441178
1280,0.798879049
1281,0.798317754
1282,0.79775729
1283,0.797197657
1284,0.796638852
1285,0.796080873
1286,0.795523718
1287,0.794967387
1288,0.794411875
1289,0.793857183
1290,0.793303308
1291,0.792750248
1292,0.792198001
1293,0.791646565
1294,0.79109594
1295,0.790546122
1296,0.789997111
1297,0.789448903
1298,0.788901499
1299,0.788354895
1300,0.78780909
1301,0.787264081
1302,0.786719869
1303,0.78617645
1304,0.785633822
1305,0.785091985
1306,0.784550936
1307,0.784010674
1308,0.783471197
1309,0.782932502
1310,0.782394589
1311,0.781857456
1312,0.7813211
1313,0.780785521
1314,0.780250716
1315,0.779716683
1316,0.779183422
1317,0.77865093
1318,0.778119206
1319,0.777588248
1320,0.777058054
1321,0.776528623
1322,0.775999953
1323,0.775472041
1324,0.774944888
1325,0.77441849
1326,0.773892847
1327,0.773367957
1328,0.772843817
1329,0.772320427
1330,0.771797784
1331,0.771275888
1332,0.770754736
1333,0.770234327
1334,0.769714659
1335,0.769195731
1336,0.768677541
1337,0.768160087
1338,0.767643368
1339,0.767127382
1340,0.766612128
1341,0.766097604
1342,0.765583809
1343,0.76507074
1344,0.764558397
1345,0.764046778
1346,0.76353588
1347,0.763025704
1348,0.762516246
1349,0.762007507
1350,0.761499483
1351,0.760992173
1352,0.760485577
1353,0.759979692
1354,0.759474517
1355,0.75897005
1356,0.758466291
1357,0.757963236
1358,0.757460886
1359,0.756959238
1360,0.75645829
1361,0.755958042
1362,0.755458492
1363,0.754959638
1364,0.75446148
1365,0.753964014
1366,0.753467241
1367,0.752971158
1368,0.752475764
1369,0.751981058
1370,0.751487038
1371,0.750993702
1372,0.75050105
1373,0.750009079
1374,0.749517789
1375,0.749027178
1376,0.748537244
1377,0.748047986
1378,0.747559403
1379,0.747071493
1380,0.746584255
1381,0.746097687
1382,0.745611788
1383,0.745126557
1384,0.744641992
1385,0.744158091
1386,0.743674854
1387,0.743192279
1388,0.742710365
1389,0.74222911
1390,0.741748513
1391,0.741268572
1392,0.740789286
1393,0.740310654
1394,0.739832675
1395,0.739355346
1396,0.738878667
1397,0.738402637
1398,0.737927253
1399,0.737452515
1400,0.736978422
1401,0.736504971
1402,0.736032162
1403,0.735559994
1404,0.735088464
1405,0.734617572
1406,0.734147317
1407,0.733677696
1408,0.733208709
1409,0.732740355
1410,0.732272632
1411,0.731805538
1412,0.731339074
1413,0.730873236
1414,0.730408024
1415,0.729943438
1416,0.729479474
1417,0.729016133
1418,0.728553412
1419,0.728091311
1420,0.727629829
1421,0.727168963
1422,0.726708714
1423,0.726249078
1424,0.725790056
1425,0.725331647
1426,0.724873848
1427,0.724416658
1428,0.723960077
1429,0.723504103
1430,0.723048735
1431,0.722593971
1432,0.722139811
1433,0.721686253
1434,0.721233296
1435,0.720780939
1436,0.720329181
1437,0.719878019
1438,0.719427454
1439,0.718977484
1440,0.718528107
1441,0.718079323
1442,0.717631131
1443,0.717183528
1444,0.716736515
1445,0.716290089
1446,0.71584425
1447,0.715398996
1448,0.714954327
1449,0.71451024
1450,0.714066736
1451,0.713623812
1452,0.713181468
1453,0.712739703
1454,0.712298514
1455,0.711857902
1456,0.711417865
1457,0.710978402
1458,0.710539511
1459,0.710101192
1460,0.709663443
1461,0.709226264
1462,0.708789653
1463,0.708353609
1464,0.707918131
1465,0.707483217
1466,0.707048868
1467,0.706615081
1468,0.706181855
1469,0.70574919
1470,0.705317084
1471,0.704885536
1472,0.704454545
1473,0.70402411
1474,0.70359423
1475,0.703164904
1476,0.70273613
1477,0.702307908
1478,0.701880236
1479,0.701453114
1480,0.701026541
1481,0.700600514
1482,0.700175034
1483,0.699750099
1484,0.699325708
1485,0.69890186
1486,0.698478554
1487,0.698055788
1488,0.697633563
1489,0.697211876
1490,0.696790728
1491,0.696370115
1492,0.695950039
1493,0.695530497
1494,0.695111489
1495,0.694693013
1496,0.694275069
1497,0.693857655
1498,0.693440771
1499,0.693024415
1500,0.692608586
1501,0.692193284
1502,0.691778507
1503,0.691364255
1504,0.690950526
1505,0.690537319
1506,0.690124634
1507,0.689712469
1508,0.689300823
1509,0.688889695
1510,0.688479085
1511,0.688068992
1512,0.687659413
1513,0.687250349
1514,0.686841798
1515,0.68643376
1516,0.686026233
1517,0.685619217
1518,0.68521271
1519,0.684806711
1520,0.68440122
1521,0.683996236
1522,0.683591757
1523,0.683187783
1524,0.682784312
1525,0.682381344
1526,0.681978878
1527,0.681576913
1528,0.681175447
1529,0.680774481
1530,0.680374012
1531,0.67997404
1532,0.679574565
1533,0.679175584
1534,0.678777098
1535,0.678379105
1536,0.677981604
1537,0.677584595
1538,0.677188076
1539,0.676792047
1540,0.676396506
1541,0.676001453
1542,0.675606887
1543,0.675212807
1544,0.674819211
1545,0.6744261
1546,0.674033472
1547,0.673641326
1548,0.673249661
1549,0.672858477
1550,0.672467773
1551,0.672077547
1552,0.671687798
1553,0.671298527
1554,0.670909731
1555,0.670521411
1556,0.670133565
1557,0.669746192
1558,0.669359292
1559,0.668972863
1560,0.668586904
1561,0.668201416
1562,0.667816396
1563,0.667431845
1564,0.667047761
1565,0.666664143
1566,0.66628099
1567,0.665898302
1568,0.665516078
1569,0.665134316
1570,0.664753017
1571,0.664372179
1572,0.663991801
1573,0.663611883
1574,0.663232423
1575,0.662853421
1576,0.662474876
1577,0.662096787
1578,0.661719153
1579,0.661341974
1580,0.660965248
1581,0.660588975
1582,0.660213154
1583,0.659837784
1584,0.659462865
1585,0.659088394
1586,0.658714373
1587,0.658340799
1588,0.657967672
1589,0.657594992
1590,0.657222756
1591,0.656850966
1592,0.656479619
1593,0.656108714
1594,0.655738253
1595,0.655368232
1596,0.654998652
1597,0.654629511
1598,0.65426081
1599,0.653892546
1600,0.65352472
1601,0.653157331
1602,0.652790377
1603,0.652423858
1604,0.652057774
1605,0.651692122
1606,0.651326904
1607,0.650962117
1608,0.650597761
1609,0.650233835
1610,0.649870339
1611,0.649507272
1612,0.649144633
1613,0.648782421
1614,0.648420635
1615,0.648059275
1616,0.647698339
1617,0.647337828
1618,0.64697774
1619,0.646618075
1620,0.646258832
1621,0.64590001
1622,0.645541608
1623,0.645183625
1624,0.644826062
1625,0.644468916
1626,0.644112188
1627,0.643755877
1628,0.643399981
1629,0.643044501
1630,0.642689434
1631,0.642334782
1632,0.641980542
1633,0.641626715
1634,0.641273299
1635,0.640920294
1636,0.640567698
1637,0.640215512
1638,0.639863735
1639,0.639512365
1640,0.639161403
1641,0.638810846
1642,0.638460696
1643,0.63811095
1644,0.637761609
1645,0.637412671
1646,0.637064136
1647,0.636716003
1648,0.636368271
1649,0.63602094
1650,0.635674009
1651,0.635327477
1652,0.634981344
1653,0.634635609
1654,0.63429027
1655,0.633945329
1656,0.633600783
1657,0.633256632
1658,0.632912876
1659,0.632569513
1660,0.632226543
1661,0.631883966
1662,0.63154178
1663,0.631199985
1664,0.630858581
1665,0.630517566
